City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Paracuru,BR,2021-10-18 19:47:11,-3.41,-39.0306,84.22,74,15,14.45
143,Mimongo,GA,2021-10-18 19:47:37,-1.6195,11.6068,70.66,99,100,3.6
144,Ngunguru,NZ,2021-10-18 19:43:15,-35.6167,174.5,57.16,77,19,4.76
145,Mandalgovi,MN,2021-10-18 19:47:38,45.7625,106.2708,28.76,46,0,6.78
146,Gravdal,NO,2021-10-18 19:41:20,68.1214,13.5031,31.89,93,20,1.14
147,Tamarindo,CU,2021-10-18 19:47:39,22.1175,-78.9087,84.09,57,94,9.89
148,Kruisfontein,ZA,2021-10-18 19:46:19,-34.0033,24.7314,49.89,66,0,5.08
149,Edd,ER,2021-10-18 19:47:41,13.9297,41.6925,87.3,66,14,3.6
150,Faanui,PF,2021-10-18 19:46:11,-16.4833,-151.75,79.86,78,98,15.05
151,Marsh Harbour,BS,2021-10-18 19:44:00,26.5412,-77.0636,77.76,58,55,14.58
152,Price,US,2021-10-18 19:47:42,39.5994,-110.8107,58.71,43,1,3.44
153,Belmonte,BR,2021-10-18 19:47:43,-15.8631,-38.8828,81.1,77,100,10.67
154,Buchanan,LR,2021-10-18 19:47:15,5.8808,-10.0467,80.56,84,37,8.43
155,Lamu,KE,2021-10-18 19:47:43,-2.2717,40.902,79.02,87,10,14.2
156,Doha,QA,2021-10-18 19:44:30,25.2867,51.5333,85.98,53,0,11.5
157,Mwense,ZM,2021-10-18 19:47:44,-10.3845,28.698,74.93,64,99,3.74
158,Solnechnyy,RU,2021-10-18 19:47:44,50.7214,136.6319,19.17,71,1,3.2
159,Tessalit,ML,2021-10-18 19:47:45,20.1986,1.0114,86.34,11,0,10.27
160,Taoudenni,ML,2021-10-18 19:45:42,22.6783,-3.9836,86.85,10,54,10.92
161,El Perico,HN,2021-10-18 19:47:46,15.0833,-88.1,68.88,83,100,3.49
162,San Patricio,US,2021-10-18 19:47:47,28.017,-97.5169,82.81,47,3,10.92
163,Coquimbo,CL,2021-10-18 19:37:54,-29.9533,-71.3436,58.73,77,75,12.66
164,Chumikan,RU,2021-10-18 19:44:24,54.7183,135.315,19.44,74,5,17.74
165,Sao Filipe,CV,2021-10-18 19:45:12,14.8961,-24.4956,80.04,75,3,9.01
166,General Pico,AR,2021-10-18 19:47:48,-35.6566,-63.7568,74.79,23,0,4.21
167,Port Blair,IN,2021-10-18 19:47:49,11.6667,92.75,80.46,85,100,7.23
168,Camacha,PT,2021-10-18 19:47:49,33.0833,-16.3333,70.56,88,20,5.75
169,Castro,BR,2021-10-18 19:45:58,-24.7911,-50.0119,57.09,96,100,5.32
170,Mariental,NA,2021-10-18 19:47:50,-24.6333,17.9667,66.99,8,88,16.67
171,San Fernando,PH,2021-10-18 19:47:50,15.0286,120.6898,78.82,88,48,3.85
172,Bud,US,2021-10-18 19:47:51,39.447,-86.1758,72.91,48,0,8.46
173,Puerto Escondido,MX,2021-10-18 19:47:51,15.85,-97.0667,86.0,64,66,6.91
174,Mujiayingzi,CN,2021-10-18 19:47:52,42.1167,118.7833,30.9,51,0,6.91
175,Portland,US,2021-10-18 19:45:03,45.5234,-122.6762,58.89,68,40,1.01
176,Jalu,LY,2021-10-18 19:36:04,29.0331,21.5482,72.73,35,6,10.58
177,Aloleng,PH,2021-10-18 19:47:54,16.1307,119.7824,80.06,80,81,6.11
178,Leningradskiy,RU,2021-10-18 19:46:09,69.3833,178.4167,4.37,94,100,3.49
179,Gibsons,CA,2021-10-18 19:47:56,49.3997,-123.5027,53.46,81,83,1.9
180,Shingu,JP,2021-10-18 19:47:57,33.7333,135.9833,60.22,91,100,7.65
181,Denpasar,ID,2021-10-18 19:46:13,-8.65,115.2167,80.26,88,40,4.61
182,Chernyakhiv,UA,2021-10-18 19:47:57,50.4565,28.6702,44.53,82,100,10.18
183,Guarapari,BR,2021-10-18 19:47:58,-20.6667,-40.4975,75.09,93,99,4.92
184,New Norfolk,AU,2021-10-18 19:42:38,-42.7826,147.0587,47.7,76,92,1.01
185,Perth,AU,2021-10-18 19:47:24,-31.9333,115.8333,60.98,94,0,10.36
186,Vilhena,BR,2021-10-18 19:47:58,-12.7406,-60.1458,71.82,94,90,9.22
187,Lata,PT,2021-10-18 19:39:17,40.1629,-8.3327,67.82,81,100,0.92
188,Eenhana,NA,2021-10-18 19:47:59,-17.4667,16.3333,76.64,16,84,6.08
189,Beloha,MG,2021-10-18 19:46:35,-25.1667,45.05,70.3,87,27,6.06
190,Griffith,US,2021-10-18 19:48:00,41.5284,-87.4237,75.25,39,1,1.01
191,Totma,RU,2021-10-18 19:48:00,59.9747,42.7642,34.56,81,100,5.95
192,Kavieng,PG,2021-10-18 19:45:56,-2.5744,150.7967,82.44,77,16,14.25
193,Banyumas,ID,2021-10-18 19:48:01,-7.5142,109.2942,76.51,91,63,2.17
194,Broken Hill,AU,2021-10-18 19:48:01,-31.95,141.4333,56.91,54,0,12.66
195,Tacana,GT,2021-10-18 19:48:02,15.2333,-92.0833,60.76,88,100,2.01
196,Flinders,AU,2021-10-18 19:40:40,-34.5833,150.8552,62.8,79,100,3.0
197,Madera,US,2021-10-18 19:44:10,37.1666,-119.8343,63.01,48,6,8.86
198,Razole,IN,2021-10-18 19:48:03,16.4833,81.8333,78.33,90,100,3.15
199,San Joaquin,US,2021-10-18 19:48:04,37.9333,-121.3011,63.12,55,75,3.44
200,Longyearbyen,SJ,2021-10-18 19:44:58,78.2186,15.6401,17.44,79,75,5.75
201,Alanya,TR,2021-10-18 19:48:05,36.5438,31.9998,66.33,50,100,3.2
202,Cherskiy,RU,2021-10-18 19:42:36,68.75,161.3,-5.75,100,23,8.99
203,Dolni Dabnik,BG,2021-10-18 19:48:05,43.4,24.4333,49.82,87,40,4.61
204,Henties Bay,NA,2021-10-18 19:48:06,-22.116,14.2845,58.86,71,100,8.1
205,Cabo San Lucas,MX,2021-10-18 19:37:43,22.8909,-109.9124,90.7,65,20,18.41
206,Suhbaatar,MN,2021-10-18 19:48:06,50.2314,106.2078,28.06,80,3,1.92
207,East London,ZA,2021-10-18 19:44:15,-33.0153,27.9116,57.36,73,27,4.07
208,Traverse City,US,2021-10-18 19:48:08,44.7631,-85.6206,66.94,44,1,4.61
209,Caravelas,BR,2021-10-18 19:47:19,-17.7125,-39.2481,78.06,78,23,8.59
210,Terenos,BR,2021-10-18 19:48:09,-20.4422,-54.8603,82.11,69,75,11.5
211,Muhlhausen,DE,2021-10-18 19:48:10,51.2167,10.45,52.05,85,100,3.56
212,Amuntai,ID,2021-10-18 19:45:02,-2.4177,115.2494,74.59,97,92,1.25
213,Yatou,CN,2021-10-18 19:43:52,37.15,122.3833,53.85,68,50,17.78
214,Hualmay,PE,2021-10-18 19:48:02,-11.0964,-77.6139,67.37,75,40,10.58
215,Okha,RU,2021-10-18 19:48:12,53.5739,142.9478,26.78,76,52,19.3
216,Singaraja,ID,2021-10-18 19:48:12,-8.112,115.0882,79.97,79,98,3.69
217,Aitape,PG,2021-10-18 19:48:13,-3.1374,142.3475,78.64,88,53,6.13
218,Petukhovo,RU,2021-10-18 19:48:14,55.0692,67.9019,48.58,50,100,10.47
219,Halifax,CA,2021-10-18 19:41:52,44.6453,-63.5724,59.05,70,75,10.36
220,Ketchikan,US,2021-10-18 19:43:40,55.3422,-131.6461,46.87,53,40,13.8
221,Songea,TZ,2021-10-18 19:48:14,-10.6833,35.65,67.05,69,16,3.22
222,Malavalli,IN,2021-10-18 19:48:15,12.3833,77.0833,69.1,96,100,4.5
