City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
190,Baie-Comeau,CA,49.2168,-68.1489,44.96,87,100,13.91,overcast clouds
191,Saint-Leu,RE,-21.15,55.2833,72.43,94,1,7.9,clear sky
192,Bjornevatn,NO,69.6672,29.9847,32.34,74,75,14.97,light snow
193,Matadi,CD,-5.8167,13.45,77.85,80,97,6.53,overcast clouds
194,Ribeira Grande,PT,38.5167,-28.7,70.2,73,20,17.27,few clouds
195,Buraydah,SA,26.326,43.975,77.04,22,0,12.46,clear sky
196,Stornoway,GB,58.2093,-6.3865,55.92,94,40,28.77,scattered clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,91.62,66,26,13.94,scattered clouds
198,Qalyub,EG,30.1792,31.2056,74.19,50,0,7.65,clear sky
199,Valparaiso,CL,-33.0393,-71.6273,80.83,48,0,6.91,clear sky
200,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,75,12.66,broken clouds
201,Georgetown,MY,5.4112,100.3354,82.89,87,20,1.99,few clouds
202,Half Moon Bay,US,37.4636,-122.4286,63.82,63,40,3.0,scattered clouds
203,Itaituba,BR,-4.2761,-55.9836,77.14,87,100,1.12,overcast clouds
204,Pampas,PE,-12.4,-74.9,62.98,53,72,9.37,broken clouds
205,Atlantic Beach,US,30.3344,-81.3987,78.1,56,90,5.01,overcast clouds
206,Ramhormoz,IR,31.28,49.6035,76.95,21,83,5.53,broken clouds
207,Norman Wells,CA,65.282,-126.8329,24.84,93,90,9.22,mist
208,Aksu,CN,41.1231,80.2644,54.64,21,100,3.24,overcast clouds
209,Broome,US,42.2506,-75.833,49.69,72,90,5.01,overcast clouds
210,Dakar,SN,14.6937,-17.4441,84.33,79,0,4.61,clear sky
211,Stettler,CA,52.3168,-112.7186,38.77,75,100,10.22,overcast clouds
212,Saint George,US,37.1041,-113.5841,70.27,25,1,14.0,clear sky
213,Panguipulli,CL,-39.6333,-72.3333,70.02,40,1,5.21,clear sky
214,Fairbanks,US,64.8378,-147.7164,32.31,80,99,1.39,overcast clouds
215,Ilulissat,GL,69.2167,-51.1,17.35,67,7,8.77,clear sky
216,Lahij,YE,13.1667,44.5833,83.41,58,16,4.34,few clouds
217,La Asuncion,VE,11.0333,-63.8628,84.99,68,7,8.57,clear sky
218,San Ramon,US,37.7799,-121.978,62.33,61,75,5.01,broken clouds
219,Teknaf,BD,20.8624,92.3058,77.29,91,100,8.63,overcast clouds
220,Tessalit,ML,20.1986,1.0114,86.34,11,0,10.27,clear sky
221,Atascocita,US,29.9988,-95.1766,80.37,48,1,5.99,clear sky
222,Chunskiy,RU,56.0815,99.6342,29.64,92,3,2.86,clear sky
223,Kathu,TH,7.9178,98.3332,78.62,80,100,6.2,moderate rain
224,Manhattan,US,40.7834,-73.9662,60.89,48,75,9.22,broken clouds
225,Zhangjiakou,CN,40.81,114.8794,34.32,44,0,5.75,clear sky
226,Montepuez,MZ,-13.1256,38.9997,70.9,70,30,8.37,scattered clouds
